Notes GS,Accept GS,Accept RG,Notes RG,Name,Article URL,Hunter,,Year,Modalities,Domain,Evaluation metrics,Humanities?,ASJC code,Resource URL (Benchmark + Dataset),Source,Source 2,Specific source
Da tenere,TRUE,TRUE,valuta llm su traduzione e sintesi di testi latini con output anche inglese; classics/linguistica,LLM-based Machine Translation and Summarization for Latin,https://aclanthology.org/2024.lt4hala-1.15.pdf,GS,,2024,text,,,Yes,,,LT4HALA 2024,ASREVIEW,
Da tenere,TRUE,TRUE,benchmark/topic task ceco; ambito linguistico ma esclusivo/non inglese,CzechTopic,https://arxiv.org/pdf/2603.03884,GS,,2026,text,,,Yes,Language and Linguistics,,,ASREVIEW,
Da tenere,TRUE,TRUE,valutazione ocr su documenti storici ma dataset non inglese e taglio metodologico,Evaluating LLMs for Historical Document OCR: A Methodological Framework for Digital Humanities,https://acl-bg.org/proceedings/2025/LM4DH%202025/pdf/2025.lm4dh-1.7.pdf,GS,,2025,text,,,Yes,Language and Linguistics,,LM4DH,ASREVIEW,
Da tenere,TRUE,TRUE,benchmark llm su struttura retorica di petizioni storiche svedesi e inglesi; storia/linguistica,Finding the Plea: Evaluating the Ability of LLMs to Identify Rhetorical Structure in Swedish and English Historical Petitions,https://acl-bg.org/proceedings/2025/LM4DH%202025/pdf/2025.lm4dh-1.8.pdf,GS,,2025,text,,,Yes,Language and Linguistics,,LM4DH,,
Da tenere,TRUE,TRUE,"studio di prompting su impronte retoriche, non benchmark humanities riusabile",Exploring the Limits of Prompting LLMs with Speaker-Specific Rhetorical Fingerprints,https://acl-bg.org/proceedings/2025/LM4DH%202025/pdf/2025.lm4dh-1.14.pdf,GS,,2025,text,,,Yes,Language and Linguistics,,LM4DH,ASREVIEW,
Da tenere,TRUE,TRUE,chvm-1k è benchmark su cultural heritage e valori dei vlm/llm; in scope con tolleranza,CHVM-1K,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11131222,GS,,2025,,,,Yes,,,,ASREVIEW,
Interessante. Basato su dati archivistico-storici (bollettini dal 1920),TRUE,TRUE,"usa fonti archivistiche storiche ma il dominio valutato è office/finanza, non humanities",OfficeQA Pro,https://arxiv.org/abs/2603.08655,RG,,2026,,enterprise document reasoning / tables / spreadsheets,,Unsure,,https://github.com/databricks/officeqa,Anthropic System Cards,ASREVIEW,
tenere,TRUE,TRUE,benchmark di conoscenza culturale per llm; borderline ma include contenuti culturali umanistici e inglese,CulturalBench,https://arxiv.org/pdf/2410.02677,GS,,2024,text,Cultural benchmark,accuracy,Unsure,,https://huggingface.co/datasets/kellycyy/CulturalBench,Huggingface,ASREVIEW,
da tenere,TRUE,TRUE,"classificazione di soggetti bibliotecari en/de, ma dominio/library workflow non humanities benchmark",LLMs4Subjects,https://arxiv.org/pdf/2504.07199,GS,,2025,text,subject tagging for scientific and technical records in English and German using the GND taxonomy,"precision, recall, F1",Borderline,Museology,https://github.com/jd-coderepos/llms4subjects,SemEval 2025,ASREVIEW,
ha domande humanities,TRUE,TRUE,benchmark accademico generalista con categorie humanities separabili; valuta llm con metriche,SuperGPQA,https://arxiv.org/abs/2502.14739,GS,,2025,text,,,Borderline,,https://benchlm.ai/benchmarks/superGpqa,,ASREVIEW,
nope,TRUE,TRUE,"benchmark esplicitamente humanities per llm, in scope",The RISE Humanities Data Benchmark,https://openhumanitiesdata.metajnl.com/articles/10.5334/johd.481,GS,,2026,,,,,,,,,
big benchmark che ha effettivamente domande di storia. da tenere,TRUE,TRUE,benchmark exam multimodale con materie come storia/religione/fine arts e più lingue; in scope,EXAMS-V: A Multi-Discipline Multilingual Multimodal Exam Benchmark for Evaluating Vision Language Models,,ASREVIEW,,2024,,,,,,,ASREVIEW,,
out of scope,TRUE,TRUE,"benchmark irish-english culturalmente fondato; contiene inglese e temi storia/cultura, ok con tolleranza","IRLBench: A Multi-modal, Culturally Grounded, Parallel Irish-English Benchmark for Open-Ended LLM Reasoning Evaluation",,ASREVIEW,,2025,,,,,,,ASREVIEW,,
out of scope,TRUE,TRUE,estensione multilingue di mmlu-pro con inglese e categorie humanities separabili,MMLU-ProX: A Multilingual Benchmark for Advanced Large Language Model Evaluation,https://aclanthology.org/2025.emnlp-main.79.pdf,ASREVIEW,,2025,,,,,,,ASREVIEW,,
out of scope,TRUE,TRUE,"benchmark di reasoning nativo con wordplay/riddles e equivalenti inglesi; linguistica, in scope con tolleranza",MultiNRC: A Challenging and Native Multilingual Reasoning Evaluation Benchmark for LLMs,https://arxiv.org/pdf/2507.17476,ASREVIEW,,2025,,,,,,,ASREVIEW,,
no,TRUE,TRUE,"benchmark multimodale su cultura indiana con inglese e lingue indic; include patrimonio/arte/tradizioni, borderline positivo",DRISHTIKON: A Multimodal Multilingual Benchmark for Testing Language Models' Understanding on Indian Culture,https://aclanthology.org/2025.emnlp-main.68/,ASREVIEW,,2025,,,,,,,ASREVIEW,,
Ci sono delle categorie interessanti. Potremmo prenderla in considerazione,TRUE,TRUE,"cultural lfqa interessante, abbastanza humanities/asjc, inglese solo parziale",CaLMQA: Exploring culturally specific long-form question answering across 23 languages,https://aclanthology.org/2025.acl-long.578.pdf,ASREVIEW,,2024,,,,,,,ASREVIEW,,
anche questo interessante. Principalmente cross-language ma ha anche cultural,TRUE,TRUE,"competenza culturale generale su grounded tasks, non abbastanza humanities/asjc",CulturALL: Benchmarking Multilingual and Multicultural Competence of LLMs on Grounded Tasks,https://arxiv.org/abs/2604.19262,ASREVIEW,,2026,,,,,,,ASREVIEW,,
,TRUE,TRUE,"benchmark multimodale su fumetti e consapevolezza cross-culturale; visual narrative/arts, in scope con tolleranza",Culture In a Frame: C3B as a Comic-Based Benchmark for Multimodal Culturally Awareness,https://arxiv.org/pdf/2510.00041,ASREVIEW,,2025,,,,,,,ASREVIEW,,
,TRUE,TRUE,histbench è benchmark multimodale di historical reasoning per llm/agents; dominio storia chiaro,On Path to Multimodal Historical Reasoning: HistBench and HistAgent,https://arxiv.org/pdf/2505.20246,ASREVIEW,,2025,,,,,,,ASREVIEW,,
cross-lang,TRUE,TRUE,"benchmark linguistico di minimal pairs per llm, include inglese fra molte lingue",MultiBLiMP 1.0: A Massively Multilingual Benchmark of Linguistic Minimal Pairs,https://direct.mit.edu/tacl/article/doi/10.1162/TACL.a.600/134999,ASREVIEW,,2026,,,,,,,ASREVIEW,,
"fashion, potremmo integrarlo",TRUE,TRUE,benchmark su hanfu come cultural heritage/visual arts con valutazione vlm; positivo borderline,Hanfu-Bench: A Multimodal Benchmark on Cross-Temporal Cultural Understanding and Transcreation,https://aclanthology.org/2025.emnlp-main.1251.pdf,ASREVIEW,,2025,,,,,,,ASREVIEW,,
no,TRUE,TRUE,benchmark exam multimodale/multilingue con materie scolastiche anche humanities e inglese; generalista ma ok,"M3Exam: A Multilingual, Multimodal, Multilevel Benchmark for Examining Large Language Models",https://proceedings.neurips.cc/paper_files/paper/2023/file/117c5c8622b0d539f74f6d1fb082a2e9-Paper-Datasets_and_Benchmarks.pdf,ASREVIEW,,2023,,,,,,,ASREVIEW,,
,,,,"EduArt: An Educational-Level Benchmark for Evaluating Art History Knowledge in Large Language Models",https://arxiv.org/abs/2607.02007,,,2026,Text + Image,Art History / Visual Arts,"Accuracy, Classical Test Theory discrimination",Yes,1213,https://github.com/llm-art/EduArt/tree/main/prompts,,,
